Fine,On Fire,Burned Out,Percentage Burned Out
6796,4,0,0.0
6764,23,13,0.1911764705882353
6679,44,77,1.1323529411764706
6607,28,165,2.4264705882352944
6553,37,210,3.088235294117647
6341,106,353,5.1911764705882355
6173,79,548,8.058823529411764
6064,65,671,9.867647058823529
5968,46,786,11.558823529411764
5866,45,889,13.073529411764707
5752,53,995,14.632352941176471
5659,55,1086,15.970588235294118
5580,42,1178,17.323529411764707
5508,44,1248,18.352941176470587
5454,36,1310,19.264705882352942
5374,51,1375,20.22058823529412
5288,40,1472,21.64705882352941
5206,51,1543,22.691176470588236
5148,24,1628,23.941176470588236
5102,23,1675,24.63235294117647
5100,0,1700,25.0
